name,mbti,gender,category,subcategory
Kim Kardashian,istj,unknown,unknown,unknown
Sigmund Freud,istj,unknown,unknown,unknown
Irene (Red Velvet),istj,unknown,unknown,unknown
Tzuyu (TWICE),istj,unknown,unknown,unknown
Moriah Rose Pereira (Poppy),istj,unknown,unknown,unknown
Queen Elizabeth II,istj,unknown,unknown,unknown
Jeff Bezos,istj,unknown,unknown,unknown
Jade Picon,istj,unknown,unknown,unknown
Vitor Santos (Metaforando),istj,unknown,unknown,unknown
Natalie Portman,istj,unknown,unknown,unknown
Sunghoon (ENHYPEN),istj,unknown,unknown,unknown
Johann Sebastian Bach,istj,unknown,unknown,unknown
Morgan Freeman,istj,unknown,unknown,unknown
Angela Merkel,istj,unknown,unknown,unknown
George Washington,istj,unknown,unknown,unknown
Xi Jinping (习近平),istj,unknown,unknown,unknown
D.O. (EXO),istj,unknown,unknown,unknown
Mike Pence,istj,unknown,unknown,unknown
John Jurasek (TheReportOfTheWeek / Reviewbrah),istj,unknown,unknown,unknown
Hila Klein (h3h3Productions),istj,unknown,unknown,unknown
Todd Grande,istj,unknown,unknown,unknown
Peter Steele,istj,unknown,unknown,unknown
Robert de Niro,istj,unknown,unknown,unknown
5up,istj,unknown,unknown,unknown
Eric Zemmour,istj,unknown,unknown,unknown
Thomas Hobbes,istj,unknown,unknown,unknown
Lana Blakely,istj,unknown,unknown,unknown
Rivers Cuomo,istj,unknown,unknown,unknown
Xiumin (EXO),istj,unknown,unknown,unknown
Jongho (ATEEZ),istj,unknown,unknown,unknown
Richard Nixon,istj,unknown,unknown,unknown
Warren Buffett,istj,unknown,unknown,unknown
Anthony Fauci,istj,unknown,unknown,unknown
Jarosław Kaczyński,istj,unknown,unknown,unknown
Artificial Intelligence (A.I.),istj,unknown,unknown,unknown
Caitlyn Jenner,istj,unknown,unknown,unknown
Theresa May,istj,unknown,unknown,unknown
Müge Anlı,istj,unknown,unknown,unknown
Alex Beltman (I Hate Everything),istj,unknown,unknown,unknown
Denzel Washington,istj,unknown,unknown,unknown
Khabane Lame,istj,unknown,unknown,unknown
John Deacon,istj,unknown,unknown,unknown
Kayla Sims (lilsimsie),istj,unknown,unknown,unknown
Guillermo Díaz Íbañez (Willyrex),istj,unknown,unknown,unknown
Lindsay Ellis,istj,unknown,unknown,unknown
Leni Robredo,istj,unknown,unknown,unknown
Yapura Meri,istj,unknown,unknown,unknown
Newman LM,istj,unknown,unknown,unknown
Ruth Bader Ginsburg,istj,unknown,unknown,unknown
Alex (INTJ & INFP Coffee),istj,unknown,unknown,unknown
Stephanie Patrick,istj,unknown,unknown,unknown
Matt Damon,istj,unknown,unknown,unknown
Ruby Granger,istj,unknown,unknown,unknown
Jennifer Connelly,istj,unknown,unknown,unknown
Sting,istj,unknown,unknown,unknown
Seohyun (SNSD),istj,unknown,unknown,unknown
Sérgio Moro,istj,unknown,unknown,unknown
Joe Locke,istj,unknown,unknown,unknown
Tulsi Gabbard,istj,unknown,unknown,unknown
George H. W. Bush,istj,unknown,unknown,unknown
Efe Aydal,istj,unknown,unknown,unknown
Sean Connery,istj,unknown,unknown,unknown
Dwight D. Eisenhower,istj,unknown,unknown,unknown
Marco-Pierre White,istj,unknown,unknown,unknown
Kawhi Leonard,istj,unknown,unknown,unknown
Enes Batur Sungurtekin,istj,unknown,unknown,unknown
Tim Cook,istj,unknown,unknown,unknown
Hans-Hermann Hoppe,istj,unknown,unknown,unknown
Soraru,istj,unknown,unknown,unknown
Victoria Beckham “Posh Spice”,istj,unknown,unknown,unknown
Grayson (Purpled),istj,unknown,unknown,unknown
Queen Victoria,istj,unknown,unknown,unknown
Liam Hemsworth,istj,unknown,unknown,unknown
Suharto,istj,unknown,unknown,unknown
Calvin Coolidge,istj,unknown,unknown,unknown
Park Jihoon,istj,unknown,unknown,unknown
Sowon (GFRIEND),istj,unknown,unknown,unknown
Ivan Zolochevsky (ivanzolo2004),istj,unknown,unknown,unknown
Christopher Lee,istj,unknown,unknown,unknown
Roh Jisun (fromis_9),istj,unknown,unknown,unknown
Carlos Sainz Jr.,istj,unknown,unknown,unknown
Suleiman the Magnificent,istj,unknown,unknown,unknown
Aldo Bartra (El Robot de Platón/Robotitus),istj,unknown,unknown,unknown
Vikkstar,istj,unknown,unknown,unknown
Gabriel Bohm (KamiKat),istj,unknown,unknown,unknown
Abraham,istj,unknown,unknown,unknown
İlber Ortaylı,istj,unknown,unknown,unknown
Lee Min-ho,istj,unknown,unknown,unknown
Kim Gaeul (IVE),istj,unknown,unknown,unknown
Lauren Chen (Roaming Millennial),istj,unknown,unknown,unknown
Krzysztof Bosak,istj,unknown,unknown,unknown
Bernadette Banner,istj,unknown,unknown,unknown
Eric Barone (ConcernedApe),istj,unknown,unknown,unknown
Matt D'Avella,istj,unknown,unknown,unknown
Abdel Fattah el-Sisi,istj,unknown,unknown,unknown
