name,mbti,gender,category,subcategory,views_30d
Kim Kardashian,istj,unknown,unknown,unknown,-1
Alvaro Machado Dias,ENTP,unknown,Science,Psychology & Neuroscience,-1
Eric Berne,INTP,unknown,Science,Psychology & Neuroscience,-1
Martin Seligman,INFJ,unknown,Science,Psychology & Neuroscience,-1
Dan Ariely,ENTP,unknown,Science,Psychology & Neuroscience,-1
Alice Miller (Alicija Englard),INFP,unknown,Science,Psychology & Neuroscience,-1
Stanley Milgram,INTP,unknown,Science,Psychology & Neuroscience,-1
Lenore Thomson,ENFJ,unknown,Science,Psychology & Neuroscience,-1
Lawrence Kohlberg,INFJ,unknown,Science,Psychology & Neuroscience,-1
Elaine Aron,INFJ,unknown,Science,Psychology & Neuroscience,-1
Claudia Nicolasa,INFJ,unknown,Science,Psychology & Neuroscience,-1
Anna Runkle (Crappy Childhood Fairy),ENFJ,unknown,Science,Psychology & Neuroscience,-1
"Spidey ""the behavioral arts""",ENFJ,unknown,Science,Psychology & Neuroscience,-1
Hayley LeBlanc,ISFP,unknown,Internet,General Vloggers,-1
Alfie Kohn,ENTP,unknown,Science,Psychology & Neuroscience,-1
Abu Zayd Al Balkhi,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Miguel Nicolelis,INTP,unknown,Science,Psychology & Neuroscience,-1
Emil Kraepelin,INFJ,unknown,Science,Psychology & Neuroscience,-1
Dirk De Wachter,INFP,unknown,Science,Psychology & Neuroscience,-1
Francine Patterson,INFJ,unknown,Science,Psychology & Neuroscience,-1
Erik Scherder,ENFP,unknown,Science,Psychology & Neuroscience,-1
Mary Ainsworth,INTJ,unknown,Science,Psychology & Neuroscience,-1
Leon Festinger,ENTP,unknown,Science,Psychology & Neuroscience,-1
Ian Stevenson,INTP,unknown,Science,Psychology & Neuroscience,-1
Vilayanur Ramachandran,ENTP,unknown,Science,Psychology & Neuroscience,-1
Seto Mulyadi,INFP,unknown,Science,Psychology & Neuroscience,-1
Konrad Lorenz,INFP,unknown,Science,Psychology & Neuroscience,-1
Thomas Erikson,INTP,unknown,Science,Psychology & Neuroscience,-1
Marshall Rosenberg,INFJ,unknown,Science,Psychology & Neuroscience,-1
Lydia Benecke,INTJ,unknown,Science,Psychology & Neuroscience,-1
Adam M. Grant,INTJ,unknown,Science,Psychology & Neuroscience,-1
Sidarta Ribeiro,INFJ,unknown,Science,Psychology & Neuroscience,-1
Howard Gardner,INFJ,unknown,Science,Psychology & Neuroscience,-1
Michael Shermer,ENTP,unknown,Science,Psychology & Neuroscience,-1
James Hillman,INFJ,unknown,Science,Psychology & Neuroscience,-1
Milton Erickson,INTJ,unknown,Science,Psychology & Neuroscience,-1
Raffaele Morelli,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Marsha Linehan,INFJ,unknown,Science,Psychology & Neuroscience,-1
Jacobo Grinberg,INFJ,unknown,Science,Psychology & Neuroscience,-1
Just Mick (Mick Odelli),ENFP,unknown,Science,Psychology & Neuroscience,-1
Tony Attwood,ENFJ,unknown,Science,Psychology & Neuroscience,-1
Guido Palomba,ESFJ,unknown,Science,Psychology & Neuroscience,-1
Nicole LePera (The Holistic Psychologist),ENFP,unknown,Science,Psychology & Neuroscience,-1
Kurt Lewin,ENTP,unknown,Science,Psychology & Neuroscience,-1
Ronald Laing,INFJ,unknown,Science,Psychology & Neuroscience,-1
Kazimierz Dąbrowski,INTJ,unknown,Science,Psychology & Neuroscience,-1
Hermann Rorschach,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Brian Weiss,INFJ,unknown,Science,Psychology & Neuroscience,-1
Gordon Allport,INFP,unknown,Science,Psychology & Neuroscience,-1
Judith Rich Harris,INTP,unknown,Science,Psychology & Neuroscience,-1
